cip6,soc6,naics6
51.3801,41-2031,325620
9.0701,21-1012,611310
13.0101,13-1111,325620
52.1401,41-9011,NA
52.2001,17-2199,236220
11.0701,15-1256,453998
NA,11-Nov,NA
30.2001,43-4161,325620
14.1901,15-1211,NA
52.1401,15-1232,238290
42.0101,21-1018,621330
31.0504,13-1198,NA
11.0701,13-1111,NA
31.0501,35-3011,722511
51,13-1141,621111
52.0801,13-2011,541219
NA,41-3091,541810
14.1901,13-1111,NA
52.0901,43-1011,325620
23.0101,41-4012,336390
52.1401,41-2031,325620
52.0201,15-1257,522310
52.1902,13-1161,NA
52.0801,13-2072,522310
27.0101,33-9093,NA
14.0901,15-1244,621498
42.0101,43-4051,NA
9.01,41-9031,541511
45.1101,41-3091,541519
45.0401,41-2031,325620
NA,41-2031,325620
11.0701,15-1299,541512
13.0101,43-1011,NA
52.0901,13-1041,311811
NA,99-9999,524210
NA,39-5012,325620
9.0102,21-Nov,623220
52.0101,41-3011,541810
11.0701,99-9999,541512
52.1401,27-3031,NA
42.2801,11-Nov,621330
44.0701,21-1018,621330
31.0501,43-4131,522310
52.1401,41-9011,NA
46,17-2199,236115
42.0101,11-Nov,621330
14.0901,15-1256,NA
52.0801,41-3091,541511
52.1401,11-1011,531210
NA,21-Nov,236115
50.0401,Nov-98,NA
11.0701,15-1256,NA
52.0201,Nov-98,541990
46,17-2199,236115
52.0201,41-9022,321991
50.0701,21-1021,NA
52.1401,41-2031,325620
26.0101,15-2031,NA
11.0701,99-9999,NA
50.0703,25-9045,611310
46,17-2199,236115
NA,41-4012,336390
NA,Nov-98,336390
NA,35-3031,722511
52.1401,41-4012,812112
52.0213,33-1099,NA
9.01,13-1111,325620
14.0101,19-5011,326199
42.0101,29-2053,621330
9.0701,13-1161,325620
42.0101,29-2053,621330
52.0203,15-2031,325620
42.0101,43-6011,325620
9.0903,41-3091,541810
42.0101,99-9999,621330
9.01,25-9045,611110
13.0101,41-2031,325620
52.0201,17-2199,236115
30,99-9999,311811
52.0201,13-1161,541618
26.0101,29-2018,NA
42.0101,21-1013,621330
45.0101,27-3031,541511
52.0301,13-2011,238210
50.0506,43-9061,722410
NA,99-9999,325620
52.0201,43-4051,446199
42.0101,39-5012,325620
30,29-2053,621330
51.0203,29-1215,NA
52.0903,Nov-98,541990
14.0901,15-1299,NA
42.0101,29-2053,621330
52.0201,21-Nov,212321
42.0101,29-2053,621330
14.0801,41-2031,325620
9.0903,27-3031,236115
52.0201,21-1093,621498
9.0903,13-1161,621498
52.0201,13-1161,541990
9.01,39-5091,NA
52.1401,13-1161,541810
52.0301,19-4099,541211
42.0101,43-1011,621498
52.0201,22-Nov,325620
52.0801,43-3031,424210
26.0101,25-3097,611110
52.0201,Nov-98,236115
51.3801,35-3031,722511
52.1401,13-1111,NA
45.1001,41-9022,531390
52.2001,17-2199,236115
9.0102,41-1012,325620
9.01,35-3031,722511
52.0101,27-3031,541810
50.1001,27-1011,541330
46,11-1011,NA
52.0101,99-9999,NA
52.0201,13-2072,522310
43.01,27-1025,325620
11.0701,99-9999,NA
52.0101,11-1011,NA
54.0101,99-9999,611512
24.0102,99-9999,325620
14.0201,15-1256,541511
NA,41-2031,NA
19.0701,11-Nov,621330
43.01,35-1012,722511
45.0401,Nov-51,722511
40.0601,15-1211,454110
42.0101,99-9999,621330
31.0501,29-1123,NA
9.0903,27-3031,541810
51.0701,21-1093,621498
52.1401,41-9022,236115
9.0903,27-3031,236115
9.0701,27-2012,NA
NA,43-4051,311811
52.1401,25-3021,NA
43.01,29-2053,621330
52.0201,21-1021,321991
52.0201,41-3091,NA
31.0501,21-1018,621330
52.0201,13-1198,524210
52.0301,Nov-98,311811
52.1401,21-Nov,541618
1.0901,41-2031,325620
52.0801,25-9044,611310
52.0201,11-1021,541519
52.0201,11-1011,NA
9.0401,27-3041,NA
52.0201,15-1231,518210
52.2001,21-Nov,236220
52.0301,43-6014,447110
52.1001,27-3042,443142
NA,13-1198,325620
30,35-3031,722511
52.0801,43-4131,NA
44.0501,13-1198,325620
42.0101,41-2031,325620
9.01,22-Nov,443142
14.1901,15-1256,NA
50.091,99-9999,325620
52.0801,13-2098,236115
43.01,25-1099,611512
50.0401,Nov-41,561311
42.0101,43-1011,NA
52.1501,Nov-31,NA
52.0801,13-1111,524210
52.1101,41-3021,524210
31.0501,11-1011,NA
54.0101,Nov-98,NA
52.0801,47-1011,522310
51,29-2055,622110
43.01,43-4171,441110
9.01,51-1011,NA
23.1302,25-4022,611110
52.0201,43-3031,621498
11.0101,15-1212,425110
30,41-1012,425120
44.0701,41-4012,212321
11.0701,99-9999,NA
46,Nov-32,236115
42.0101,27-3041,611691
42.0101,29-2053,621330
52.1401,13-1111,621498
9.0701,13-1161,541810
45.0601,Nov-31,523930
11.0701,13-1111,NA
11.0701,13-1111,NA
11.0701,99-9999,NA
14.0901,15-1256,333318
51.3801,29-1141,622110
52.1001,21-Nov,NA
52.1401,39-5091,325620
NA,11-1021,NA
45.0601,13-2011,331420
52.0201,27-3031,236220
45.1001,21-1018,621330
51.0701,27-3031,NA
NA,35-1012,523930
42.0101,21-1093,621498
50.0409,43-6011,331420
52.1908,41-3021,524210
42.0101,29-2053,621330
50.0401,27-1029,NA
52.1401,21-Nov,NA
52.0201,Nov-41,531210
24.0101,43-4081,311811
41,11-1021,325620
9.01,35-3031,722511
52.0201,17-3026,211120
11.0701,15-1256,541511
50.0407,27-4011,722513
52.0213,21-Nov,236115
51.0203,Nov-98,NA
52.0804,41-3031,524210
NA,43-1011,NA
52.0201,11-1021,238220
52.1401,Nov-98,722511
9.01,21-Nov,621498
45.0901,13-1071,NA
42.0101,21-1013,621330
42.0101,29-2053,621330
51.0203,41-2031,NA
52.0201,13-1071,238290
NA,13-1161,541810
9.01,35-9031,NA
26.1501,15-1244,325620
NA,99-9999,336390
26.021,43-1011,541690
9.01,99-9999,722511
9.0903,27-3043,NA
16.0905,41-2031,325620
51.3801,35-3031,722511
51.3801,29-2053,622110
NA,19-4021,325620
42.0101,29-2053,621330
42.0101,15-1244,621330
52.1401,35-1012,NA
52.0201,22-Nov,NA
31.0504,13-1028,NA
9.0902,11-Nov,541810
14.0901,99-9999,NA
51.3801,99-9999,325620
44.0701,22-Nov,524210
26.0101,41-2031,325620
NA,21-Nov,NA
27.0101,43-3021,NA
NA,21-Nov,325620
52.0201,35-3031,722511
52.0301,13-2011,541211
52.1401,27-3031,NA
40.0801,99-9999,541511
42.0101,21-1018,621330
14.1001,13-1161,NA
45.0601,Nov-41,NA
30,13-1198,325620
42.0101,Nov-51,311811
9.0401,13-1071,541511
52.1401,41-4011,NA
51.0203,31-9099,621340
11.0701,99-9999,NA
52.0101,27-3031,NA
31.0505,21-Nov,424210
9.0902,41-4012,NA
52.1401,13-2072,522310
