,learn,pumaid,educ,hours,state,Y,W
2330,10.30895,4400200,14,40,44,10.30895,TRUE
2331,10.71442,4400200,16,60,44,10.71442,TRUE
2332,11.12726,4400200,18,65,44,11.12726,TRUE
2333,10.62376,4400200,12,40,44,10.62376,FALSE
2334,10.30895,4400200,13,40,44,10.30895,TRUE
2335,9.903487,4400200,12,80,44,9.903487,FALSE
2336,10.20359,4400200,12,60,44,10.20359,FALSE
2337,9.21034,4400200,12,50,44,9.21034,FALSE
2338,10.29215,4400200,12,50,44,10.29215,FALSE
2339,11.01863,4400200,16,40,44,11.01863,TRUE
2340,10.16585,4400200,9,80,44,10.16585,FALSE
2341,9.952278,4400200,12,40,44,9.952278,FALSE
2342,11.0021,4400200,16,50,44,11.0021,TRUE
2343,10.12663,4400200,12,35,44,10.12663,FALSE
2344,11.28978,4400200,16,40,44,11.28978,TRUE
2345,10.04325,4400200,11,36,44,10.04325,FALSE
2346,10.59663,4400200,16,50,44,10.59663,TRUE
2347,10.12663,4400200,12,50,44,10.12663,FALSE
2348,10.08581,4400200,10,40,44,10.08581,FALSE
2349,9.952278,4400200,12,43,44,9.952278,FALSE
2350,7.17012,4400200,13,36,44,7.17012,TRUE
2351,10.66896,4400200,16,50,44,10.66896,TRUE
2352,10.08581,4400200,9,44,44,10.08581,FALSE
2353,10.61644,4400200,13,40,44,10.61644,TRUE
